,tpr,fpr,tnr,fnr,ppr,precision,ftu
tpr,NA,0.8095354953394065,0.803961037941822,0.9993754471596736,0.8559266060010337,0.1616104726481091,0.8455459002153345
fpr,0.8095354953394065,NA,0.9983150804023472,0.8073016463013528,0.8999662105492674,-0.0796214886486464,0.8297652990424227
tnr,0.803961037941822,0.9983150804023472,NA,0.801401764205511,0.9016337867880349,-0.08294130466859904,0.8275328432152383
fnr,0.9993754471596736,0.8073016463013529,0.801401764205511,NA,0.8558062685724521,0.16026103519661747,0.8434988163239205
ppr,0.8559266060010337,0.8999662105492673,0.901633786788035,0.8558062685724521,NA,-0.028361524254808552,0.8095415006557654
precision,0.16161047264810913,-0.07962148864864639,-0.08294130466859904,0.16026103519661744,-0.028361524254808555,NA,0.08995762868465455
ftu,0.8455459002153345,0.8297652990424227,0.8275328432152383,0.8434988163239204,0.8095415006557654,0.08995762868465457,NA
