,Wilcoxon,p_value
tpr,57.0,0.023982848551795187
fpr,72.0,0.04463440438918072
tnr,72.0,0.04440000343022557
fnr,72.5,0.024863600730895996
ppr,76.5,0.061216685784151056
precision,82.0,0.14837565646379752
ftu,109.0,0.8209940177235789
