,Wilcoxon,p_value
tpr,13.0,1.049041748046875e-05
fpr,21.0,5.328655242919922e-05
tnr,21.0,5.328655242919922e-05
fnr,12.5,8.344650268554688e-06
ppr,107.0,0.344464289298373
precision,92.0,0.10109639167785645
ftu,0.0,1.1920928955078125e-07
