,tpr,fpr,tnr,fnr,ppr,precision,ftu
tpr,NA,-0.06785598742528028,-0.0677171133930774,0.9903231078725963,-0.007460025918454534,0.11194366635323469,0.09969816335055219
fpr,-0.06785598742528028,NA,0.9980675886514165,-0.046593373180415974,0.5670135383046524,0.7406471670396876,-0.04306770213804199
tnr,-0.0677171133930774,0.9980675886514165,NA,-0.05013091891060579,0.5634510971397735,0.7318711599983131,-0.04590019866615979
fnr,0.9903231078725963,-0.04659337318041598,-0.05013091891060579,NA,-0.0021334299948104745,0.1489141924775564,0.10082163665957342
ppr,-0.007460025918454534,0.5670135383046524,0.5634510971397735,-0.0021334299948104745,NA,0.264321949669799,0.042324273492581416
precision,0.11194366635323469,0.7406471670396876,0.731871159998313,0.14891419247755638,0.264321949669799,NA,0.027098229918520764
ftu,0.09969816335055219,-0.04306770213804198,-0.0459001986661598,0.10082163665957342,0.042324273492581416,0.02709822991852076,NA
