,tpr,fpr,tnr,fnr,ppr,precision,ftu
tpr,NA,0.6467680617745513,0.6474434846050089,4.1630801004731045e-41,0.959865118277395,0.4487441634228627,0.5001813185411053
fpr,0.6467680617745513,NA,3.6587300711677e-57,0.7531640484498934,2.6471587112798534e-05,1.7671212867799703e-09,0.7713179461150718
tnr,0.6474434846050089,3.6587300711677e-57,NA,0.735080701760495,3.0502262081070557e-05,3.419750644515711e-09,0.7567231832313386
fnr,4.1630801004731045e-41,0.7531640484498934,0.735080701760495,NA,0.9885178618434629,0.3124193071653062,0.495339672886697
ppr,0.959865118277395,2.6471587112798534e-05,3.0502262081070557e-05,0.9885178618434629,NA,0.06945586812929136,0.7751617794135814
precision,0.4487441634228627,1.7671212867799703e-09,3.4197506445157604e-09,0.31241930716530636,0.06945586812929136,NA,0.8549339961312421
ftu,0.5001813185411053,0.7713179461150719,0.7567231832313386,0.495339672886697,0.7751617794135814,0.8549339961312421,NA
