,Wilcoxon,p_value
tpr,15.0,0.00018310321147079947
fpr,19.0,0.0004820863735144817
tnr,19.0,0.00047918775441064984
fnr,18.5,3.0159950256347656e-05
ppr,27.0,0.002061857669383859
precision,104.5,0.3076338911684111
ftu,0.0,1.1920928955078125e-07
