,tpr,fpr,tnr,fnr,ppr,precision
tpr,NA,0.9764670999998897,0.9757371380943205,6.58118042977046e-86,0.020830970146559012,0.026356848042638194
fpr,0.9764670999998897,NA,8.855918891479625e-89,0.9866975262884825,0.0012431464463319667,0.009902764286336812
tnr,0.9757371380943205,8.855918891757253e-89,NA,0.9859670732858885,0.001302720489188923,0.009981468363497727
fnr,6.58118042977046e-86,0.9866975262884825,0.9859670732858885,NA,0.02198741283796458,0.0265731330463159
ppr,0.020830970146559012,0.0012431464463319667,0.001302720489188923,0.02198741283796458,NA,0.32922601966661713
precision,0.026356848042638194,0.009902764286336812,0.009981468363497727,0.026573133046315863,0.32922601966661713,NA
