,tpr,fpr,tnr,fnr,ppr,precision,ftu
tpr,NA,3.2740989576450647e-12,5.959955990787499e-12,1.936968339133397e-68,9.054103999457669e-15,0.2724713397539034,3.988264331767023e-14
fpr,3.2740989576450647e-12,NA,1.568538686773017e-58,4.172067968941804e-12,3.3605131980768163e-18,0.5906127759341777,3.1220553416399885e-13
tnr,5.959955990787499e-12,1.568538686773017e-58,NA,7.796873252439956e-12,2.3253455550515777e-18,0.5751696990487463,4.1066652049772764e-13
fnr,1.936968339133397e-68,4.172067968941759e-12,7.796873252439956e-12,NA,9.21711802685649e-15,0.2765487709871068,5.274848931347142e-14
ppr,9.054103999457669e-15,3.3605131980769126e-18,2.3253455550515284e-18,9.21711802685649e-15,NA,0.8482488257473778,3.2719523855949083e-12
precision,0.2724713397539033,0.5906127759341778,0.5751696990487463,0.2765487709871069,0.8482488257473778,NA,0.5431536419329077
ftu,3.988264331767023e-14,3.1220553416399885e-13,4.1066652049772764e-13,5.274848931347218e-14,3.2719523855949083e-12,0.5431536419329077,NA
