,tpr,fpr,tnr,fnr,ppr,precision
tpr,NA,-0.004372979913754551,-0.004508664266925559,0.999891369290098,0.33277170541858814,0.3205010012313254
fpr,-0.004372979913754551,NA,0.9999185074180603,-0.00247168429907866,-0.4524599890809336,0.3687742957318444
tnr,-0.004508664266925558,0.9999185074180602,NA,-0.0026074202989449014,-0.4507867903987846,0.36841105587719014
fnr,0.999891369290098,-0.0024716842990786594,-0.0026074202989449014,NA,0.3299947509922856,0.32006631308860256
ppr,0.33277170541858814,-0.4524599890809336,-0.4507867903987846,0.3299947509922856,NA,-0.1438846206699134
precision,0.3205010012313254,0.3687742957318444,0.36841105587719014,0.3200663130886026,-0.1438846206699134,NA
